,B,CAT-DEC,CAT-RA,H,I,J,K,R,U,V,g,hd_name,i,name,r,u,z
414,9.919,43.87371891,294.71283014,7.203,8.3,7.616,7.125,8.6,,9.132,,,,HIP 96634,,,
415,9.855,50.77273357,296.37641985,7.096,8.0,7.473,7.034,8.4,,8.956,,HD 187055,,HIP 97219,,,
416,7.200,56.91902358,58.94321435,6.131,,6.253,6.066,,7.370,6.920,,HD 24395,,HIP018383,,,
417,6.104,1.05058166,209.11615218,5.370,,5.447,5.275,,,5.906,,HD 121607,,HIP068092,,,
418,8.46,16.73456082,241.94022622,7.276,,7.417,7.236,,,8.09,,HD 144922,,HIP079024,,,
419,7.61,28.1371291,253.72988549,6.601,,6.671,6.565,,,7.32,,HD 152877,,HIP082765,,,
420,8.00,59.41996839,277.97672106,6.921,,7.058,6.895,,,7.73,,HD 171566,,HIP090837,,,
421,7.56,4.27852067,286.42908756,6.727,,6.784,6.643,,,7.32,,HD 177702,,HIP093764,,,
422,8.13,12.92109183,289.93639103,7.005,,7.123,7.006,,,7.83,,HD 181362,,HIP094990,,,
423,7.20,38.59420773,294.32329486,6.234,,6.263,6.141,,,6.93,,HD 185397,,HIP096517,,,
424,8.49,45.99667404,296.21544013,7.526,,7.639,7.501,,,8.26,,HD 186857,,HIP097155,,,
425,7.94,46.66556264,298.80020673,6.864,,6.989,6.829,,,7.62,,HD 188854,,HIP098028,,,
426,8.18,71.10840616,303.32702437,7.021,,7.128,6.989,,,7.81,,HD 193138,,HIP099640,,,
427,3.520,33.97025693,311.55284318,0.104,1.3,0.641,-0.007,1.8,4.370,2.480,,HD 197989,,HIP102488,,,
428,8.640,16.57099302,322.73768751,7.588,,7.667,7.539,,8.640,8.330,,HD 204843,,HIP106223,,,
429,10.85,0.22170569,323.04970053,7.240,8.8,7.770,7.082,9.2,,9.89,,,,HIP106335,,,
430,11.08,21.36716659,334.8931621,7.911,9.0,8.465,7.849,9.5,,10.07,,,,HIP110218,,,
431,7.77,42.20101799,339.91490606,6.868,,6.940,6.832,,,7.54,,HD 214767,,HIP111875,,,
432,8.66,-7.82260806,343.95823942,6.492,,6.816,6.353,,,8.01,,HD 216777,,HIP113231,,,
433,12.661,5.75509414,343.98674924,7.458,9.216,8.130,7.240,10.267,13.796,11.212,15.729,,9.743,HIP113244,10.521,16.082,10.415
434,8.000,53.80962193,345.58474323,6.823,,6.922,6.767,,8.150,7.660,,HD 217768,,HIP113764,,,
435,9.276,76.50379844,345.64788926,7.047,7.9,7.417,7.018,8.2,,8.64,,HD 218028,,HIP113786,,,
436,7.67,36.09022593,349.67608705,6.637,,6.702,6.559,,,7.37,,HD 219843,,HIP115093,,,
437,8.30,59.7676073,359.04764607,6.171,6.9,6.458,6.121,7.2,,7.67,,HD 224233,,HIP118010,,,
438,6.106,67.2016044,56.50391648,4.989,,5.106,4.926,,,5.795,,HD 23005,,HIP17585,,,
439,9.54,27.13219481,69.20101339,5.400,6.9,5.945,5.240,7.4,,8.42,,HD 283750,,HIP21482,,,
440,7.105,-0.92991111,70.5940375,5.863,,5.999,5.778,,,6.9,,HD 29870,,HIP21894,,,
441,11.10,44.73008508,8.25589178,8.407,9.4,8.805,8.329,9.8,,10.28,,,,HIP2600,,,
442,7.11,73.9857967,85.75306015,6.008,,6.101,5.944,,,6.81,,HD 40469,,HIP26940,,,
443,6.080,56.11557521,86.62662448,5.534,,5.545,5.515,,,5.931,,HD 38091,,HIP27249,,,
444,8.34,12.41943685,88.49478249,6.332,7.1,6.616,6.277,7.4,,7.76,,HD 39570,,HIP27878,,,
445,11.48,64.74815767,91.07852855,9.308,10.4,9.635,9.211,10.6,,10.95,,,,HIP28753,,,
446,8.43,34.11470117,102.12623317,7.292,,7.415,7.236,,,8.13,,HD 49139,,HIP32638,,,
447,10.55,14.36291836,11.33741807,7.928,8.9,8.335,7.877,9.3,,9.79,,,,HIP3550,,,
448,8.58,14.8535942,122.09358421,7.520,,7.629,7.524,,,8.27,,HD 67403,,HIP39837,,,
449,6.659,60.38060276,123.96041901,5.902,,5.992,5.853,,,6.472,,HD 68457,,HIP40474,,,
450,7.070,58.21880799,134.35472685,6.468,,6.529,6.435,,7.190,6.920,,HD 76216,,HIP43984,,,
451,8.76,53.29455104,143.9269652,7.512,,7.608,7.437,,,8.38,,HD 82740,,HIP47084,,,
452,9.175,5.06144833,15.60238637,5.676,6.971,6.199,5.510,7.516,10.018,8.131,,** HDS 135,,HIP4849,,,
453,7.375,52.07119696,163.16410346,6.176,,6.344,6.150,,,7.013,,HD 94117,,HIP53173,,,
454,6.470,25.49072368,163.67569581,5.475,,5.560,5.407,,,6.199,,HD 94480,,HIP53355,,,
455,7.040,44.99828449,170.13327308,5.916,,6.052,5.858,,,6.735,,HD 98526,,HIP55391,,,
456,7.72,31.82808114,170.71322851,6.673,,6.741,6.610,,,7.41,,HD 98851,,HIP55563,,,
457,11.632,7.02504204,170.87432954,7.227,8.826,7.931,7.085,9.572,12.747,10.375,,,,HIP55605,,,
458,7.94,65.00911837,18.17192872,6.634,,6.754,6.585,,,7.62,,HD 7102,,HIP5659,,,
459,8.40,35.72734858,180.66697911,7.547,,7.633,7.538,,,8.20,,HD 104573,,HIP58723,,,
460,10.96,-6.35960203,183.09473873,7.541,,8.068,7.434,,,10.14,,HD 106092,,HIP59519,,,
461,10.57,6.9199059,183.47296043,8.589,9.3,8.826,8.489,9.6,,9.98,,HD 106313,,HIP59643,,,
462,7.21,30.4371204,190.28234519,6.168,,6.277,6.131,,,6.94,,HD 110326,,HIP61902,,,
463,12.2,35.22499185,194.41775086,6.734,8.8,7.401,6.552,9.73,,10.52,,,,HIP63253,,,
464,6.579,52.74558919,201.99845489,5.628,,5.825,5.650,,,6.348,,HD 117242,,HIP65678,,,
465,10.62,9.72481729,203.65588943,8.259,9.2,8.553,8.097,9.6,,9.97,,,,HIP66243,,,
466,9.63,33.80701985,209.27294438,7.851,8.5,8.090,7.836,8.7,,9.08,,,,HIP68145,,,
467,7.96,58.33450784,216.9278174,7.256,,7.285,7.173,,,7.79,,HD 127147,,HIP70709,,,
468,10.61,29.87570736,224.47318874,7.989,8.8,8.381,7.937,9.2,,9.73,,,,HIP73224,,,
469,7.42,69.65308581,227.2759828,6.385,,6.489,6.346,,,7.12,,HD 135119,,HIP74155,,,
470,11.83,72.78867832,235.54606313,8.764,9.8,9.305,8.675,10.3,,10.85,,,,HIP76902,,,
471,11.03,2.17906877,246.57292863,7.581,8.8,8.116,7.460,9.3,,10.07,,,,HIP80522,,,
472,10.52,28.80875058,260.72158894,7.709,8.7,8.121,7.656,9.1,,9.636,,,,HIP85047,,,
473,10.27,68.87659623,282.20031218,8.271,9.1,8.523,8.232,9.4,,9.716,,,,HIP92306,,,
474,9.20,44.55740484,287.45625955,8.410,,8.458,8.382,,,8.95,,HD 179259,,HIP94145,,,
475,7.93,72.24330817,287.45656349,6.594,,6.768,,,,7.54,,HD 180372,,HIP94146,,,
476,9.43,50.6466187,289.18540695,8.304,,8.394,8.235,,,9.15,,HD 234852,,HIP94743,,,
477,7.20,38.59420773,294.32329486,6.234,,6.263,6.141,,,6.93,,HD 185397,,HIP96517,,,
478,9.919,43.87371891,294.71283014,7.203,8.3,7.616,7.125,8.6,,9.132,,,,HIP96634,,,
479,8.2,12.37251435,296.02540248,7.621,,7.654,7.629,,,7.6,,HD 186455,,HIP97108,,,
480,9.855,50.77273357,296.37641985,7.096,8.0,7.473,7.034,8.4,,8.956,,HD 187055,,HIP97219,,,
481,7.315,41.47445845,300.7878905,6.225,,6.293,6.160,,,6.994,,HD 190401,,HIP98728,,,
482,7.24,62.33005461,61.96415396,5.949,,6.046,5.929,,6.87,6.86,,HD 25639,,HR  1260,,,
483,5.479,37.58019741,55.28273945,5.721,,5.617,5.687,,5.09,5.541,,HD 22780,,HR 1113,,,
484,4.893,63.07226227,59.35601583,5.128,,5.040,5.040,,4.78,4.946,,HD 24479,,HR 1204,,,
485,7.24,62.33005461,61.96415396,5.949,,6.046,5.929,,6.87,6.86,,HD 25639,,HR 1260,,,
486,6.128,40.78645092,71.05425071,5.780,,5.756,5.716,,5.86,6.096,,HD 29866,,HR 1500,,,
487,6.166,-10.26332333,74.96022025,3.552,,4.119,3.592,,,5.399,,HD 32008B,,HR 1608,,,
488,6.865,66.14759173,10.51424791,3.702,,4.239,3.495,,,5.829,,HD 3856,,HR 177,,,
489,6.103,17.05812478,83.05892595,6.022,6.050,5.964,6.016,6.037,5.823,6.06,,HD 36408,,HR 1847,,,
490,,,,,,,,,,,,,,HR 1847 A,,,
491,,,,,,,,,,,,,,HR 1847 B,,,
492,,,,,,,,,,,,,,HR 1847A,,,
493,,,,,,,,,,,,,,HR 1847A+B,,,
494,,,,,,,,,,,,,,HR 1847B,,,
495,,,,,,,,,,,,,,HR 1847B(+A),,,
496,,,,,,,,,,,,,,HR 1847B+A,,,
497,,,,,,,,,,,,,,HR 1847a,,,
498,,,,,,,,,,,,,,HR 1847b,,,
499,6.070,-16.72583048,85.42296034,6.533,,6.424,6.503,,,6.203,,HD 37971,,HR 1962,,,
500,5.172,-6.70893821,91.05625598,,,,,,4.30,5.251,,HD 41335,,HR 2142,,,
501,5.795,-16.61800603,94.03204872,6.346,,6.293,6.401,,5.00,5.959,,HD 43544,,HR 2249,,,
502,5.980,22.63745753,106.32653916,5.981,,5.922,5.931,,5.890,6.010,,HD 53257,,HR 2659,,,
503,6.44,-2.88192056,120.18389285,6.428,,6.479,6.252,,5.63,6.51,,HD 65875,,HR 3135,,,
504,6.596,74.30095575,24.34259403,6.395,,6.408,6.382,,6.27,6.589,,HD 9612,,HR 449,,,
