#name,count
./betlyrB,3
./gucma,1
./hip106919,2
./hd184659,15
./15mon,1
./hr1847a,69
./v787cas,1
./v2245cyg,1
./xxoph,2
./hip107179,1
./hd20210,13
./hd46131,1
./bd431168,2
./hr6168,2
./kscma,7
./v1302aql,4
./55uma,15
./rscyg,2
./etalyr,2
./bmori,1
./20vul,1
./hd155609,1
./hd236737,1
./rholeo,38
./v2385oph,1
./hd187523,1
./hr1260,11
./alpdra,68
./alpcmi,2
./etaori,4
./hd127147,2
./eedra,1
./iotlyr,1
./cquma,15
./hip110218,2
./hr7030,5
./omiper,8
./hr2249,1
./hd4931,1
./v2028cyg,108
./23tau,12
./hd204185,2
./hr177,1
./galexj2349pl3844,79
./alplyr,7
./hd164429,1
./alpcam,40
./13tau,4
./thecrb,25
./betlyr,102
./v2144cyg,3
./lamcyg,1
./hip66243,3
./v2155cyg,1
./v974her,3
./v367cyg,2
./hd61224,1
./hd29866,3
./enlac,2
./hd178515,1
./szcam,59
./zetcrv,1
./hr1204,13
./hip113244,1
./60cyg,129
./hd94117,2
./omecma,5
./hd209296,2
./55per,4
./116tau,8
./hip96634,18
./hr449,4
./omicas,259
./hd195554,2
./v2166cyg,1
./hd183261,1
./v433cep,2
./v901ori,12
./v801cas,1
./hr6741,4
./vvcrv,10
./v423lac,1
./hd207329,1
./v380cyg,43
./v460cyg,1
./rrlyn,15
./bwboo,12
./omiand,13
./hr1419,4
./hd15558,10
./fvcma,2
./v396vul,1
./hd49139,3
./klcep,1
./v1972cyg,128
./v357lac,1
./hip117928,2
./sn2004dj,16
./opand,1
./bngem,1
./v559cas,8
./hd89884,2
./hd10664,1
./v421cep,1
./epsper,57
./fwcma,1
./hip118118,1
./v1294aql,53
./v749mon,2
./v1765cyg,25
./omipup,13
./epsaur,284
./hd4539,5
./v817cas,1
./nwser,1
./upsand,6
./hd162428,1
./upscyg,7
./v763mon,2
./hd208682,1
./rlyr,1
./hd190401,2
./psi09aur,1
./qrvul,1
./48per,5
./hr7640,1
./hd49787,1
./9cep,1
./iotori,5
./hd6343,1
./hd37115,1
./v742mon,6
./hip90252,1
