v1507cyg,19.81163236,29.40232861
hd187350,19.82595947,-1.10103389
cicyg,19.83662053,35.68416750
v1339aql,19.83818869,7.90241861
12vul,19.85114122,22.61004639
v396vul,19.85131625,27.71690694
v2028cyg,19.94216667,31.10444444
25cyg,19.99866542,37.04288556
hd189689,20.00196042,32.78967500
hd190150,20.04622997,21.85442528
v1362cyg,20.06155492,36.42559833
v1768cyg,20.07671522,32.21859778
hd190944,20.09046192,46.67181750
v448cyg,20.10276333,35.38600250
28cyg,20.15711642,36.83962167
becap,20.18613258,-8.84234444
20vul,20.20019486,26.47880667
hd192445,20.22583058,36.32838167
qrvul,20.25441539,25.59195694
v2113cyg,20.28005064,32.37983194
lzdel,20.28604894,15.87266917
hd193182,20.29032689,39.59353917
pcyg,20.29644494,38.03293028
25vul,20.36761964,24.44609917
v1972cyg,20.38433722,39.49723889
ngc6910w2,20.38837914,40.75905472
v2119cyg,20.39565808,37.47644861
v2120cyg,20.42578069,54.68420083
hd195554,20.49086411,56.06819028
hd195407,20.49660097,36.98038000
hd195358,20.50401103,19.42103917
1del,20.50498958,10.89592417
sao49725,20.50856861,47.86409167
v2123cyg,20.55142053,31.65703194
hip101648,20.60505717,37.41744806
hr7890,20.65368078,-2.41297528
hip101980,20.66663586,48.80798806
hd197434,20.69033375,54.20942361
alpcyg,20.69053186,45.28033806
v568cyg,20.70620092,35.45619500
lamcyg,20.79014939,36.49071667
v2135cyg,20.80910375,53.90610139
55cyg,20.81563636,46.11413444
hip102767,20.82123369,47.05138611
v2136cyg,20.83184600,46.66133722
v417cep,20.85277414,55.48874528
v418cep,20.85669864,57.06199056
hd199218,20.90618147,40.70295944
v2139cyg,20.92308653,40.30002667
hr8023,20.94299386,44.92472194
v1057cyg,20.98159167,44.25791667
59cyg,20.99709903,47.52095111
v2144cyg,21.01384911,46.57858556
v1331cyg,21.01922500,50.36244444
60cyg,21.01970214,46.15577333
v380cep,21.02692217,68.16326750
hip103879,21.04890003,46.27422056
hd200830,21.07172592,46.53133250
hd201522,21.14156375,47.25704889
v2148cyg,21.16628647,45.50255500
hd239601,21.20135344,56.71854472
v420cep,21.24596775,59.76103111
v421cep,21.28855303,58.61148472
upscyg,21.29863233,34.89689778
68cyg,21.30755147,43.94594472
hd203374,21.31871086,61.85845083
6cep,21.32283892,64.87185528
hd203356,21.32915058,53.95149583
v2153cyg,21.38087469,40.69724361
ntpeg,21.39316303,14.05017611
hd204185,21.40534447,61.27136944
v2155cyg,21.40842747,55.36673472
v2162cyg,21.48745678,44.33812639
v2163cyg,21.50024800,45.49418611
hd205060,21.52691908,42.70075611
hd205551,21.57429539,51.69846500
v2166cyg,21.59568819,29.74552556
v433cep,21.61584858,68.18536333
epscap,21.61800864,-19.46601167
hd206267,21.64933844,57.48903750
hip106919,21.65391011,57.80131833
hd206773,21.70671786,57.73605333
hip107179,21.70933253,58.24422278
hd207232,21.76745208,50.67415083
hd207329,21.77621836,52.12414806
hd207370,21.79468364,31.52842111
agpeg,21.85054858,12.62558694
16peg,21.88438014,25.92513972
emcep,21.89669536,62.61442694
hd208682,21.92527753,65.32080861
bd483561,21.96537492,49.06786806
v2174cyg,21.97493372,54.48488139
v439cep,21.98879714,60.29766583
omiaqr,22.05523447,-2.15536306
uupsa,22.07687975,-26.82235889
25peg,22.13064008,21.70292556
hip109320,22.14766008,61.69380194
eecep,22.15632139,55.75671667
lamcep,22.19182669,59.41448750
v357lac,22.33964158,51.86100194
31peg,22.35863194,12.20518611
piaqr,22.42128422,1.37740056
8lacA,22.59785703,39.63433056
epspsa,22.67759444,-27.04361694
hd216057,22.81330481,54.41489194
v360lac,22.83938192,41.95339361
v423lac,22.92974008,43.55928944
ewlac,22.95125064,48.68406806
v378and,23.01520797,38.70784389
omiand,23.03201786,42.32597917
betpsc,23.06461500,3.82004528
kxand,23.11839242,50.19235806
kyand,23.15465144,49.65061278
v813cas,23.36957311,56.34822472
hd220582,23.41260931,25.49639028
zand,23.56109736,48.81831861
hd221692,23.56416514,57.22107528
v817cas,23.76529450,54.73540111
6cas,23.81393650,62.21451639
v818cas,23.83142236,62.21409222
hip117700,23.87003733,67.16874111
rhocas,23.90639789,57.49938222
hip117928,23.91954825,72.46028194
hip118118,23.95947150,66.43162500
hip118163,23.96871453,61.19578833
lqand,23.97956653,46.41317944
hd224544,23.98034336,32.38170500
